name,description,industry
CareCentrix,"CareCentrix is a leader in managing care to the home. Headquartered in Hartford, Conn., CareCentrix connects patients with the care they need at home, through a national network of over 8,000 credentialed provider locations, with customer care centers located across the United States. CareCentrix provides optimal access to quality home care for more than 19 million lives by connecting providers with patients and helping them navigate the complex home care system.

CareCentrixâ€™s extensive range of services provides support and coordination for patients and their families in every step of the healing process, including home health, durable medical equipment (DME), home infusion, sleep management and care management services, which ultimately improve care transitions and reduce unnecessary readmissions and emergency room visits.

For more information, please visit us at: www.CareCentrix.com.",Hospitals and Health Care
CareMore Health,"CareMore Health is a highly integrated, patient-focused healthcare delivery system, leading transformative healthcare in America. Focused on prevention and coordinated care, we manage chronic disease proactively with innovative clinical programs, while also addressing the medical, social and personal health needs of all our patients. Our unique model brings compassion and common sense back to medical care, creating clinical outcomes above the national average, as well as healthier patients and communities. Since our inception 25 years ago, CareMore has expanded from one state to eight, and continues to grow. Today the CareMore delivery system
provides care for enrollees in Medicare Advantage and Medicaid patients in California, Nevada, Arizona, Virginia, Tennessee, Iowa, Georgia and Connecticut.",Hospitals and Health Care
Carolinas HealthCare System,"Carolinas HealthCare System is Atrium Health, one of the nationâ€™s leading systems of healthcare. 

To learn more about Atrium Health, follow us here: https://www.linkedin.com/company/atrium-health-us/",Hospitals and Health Care
Children's Mercy Kansas City,"Together, we transform the health, well-being and potential of children with unwavering compassion for those most vulnerable.",Hospitals and Health Care
College of American Pathologists (CAP),"The College of American Pathologists (CAP), the leading organization of board-certified pathologists, serves patients, pathologists, and the public by fostering and advocating excellence in the practice of pathology and laboratory medicine worldwide.",Hospitals and Health Care
Community Health Systems,"Community Health Systems is one of the nationâ€™s leading healthcare providers. Developing and operating healthcare delivery systems in 48 distinct markets across 16 states, CHS is committed to helping people get well and live healthier. CHS affiliates operate 81 acute-care hospitals and more than 1,000 other sites of care, including physician practices, urgent care centers, freestanding emergency departments, occupational medicine clinics, imaging centers, cancer centers and ambulatory surgery centers.",Hospitals and Health Care
Current Health,"Current Health, a Best Buy Health Company, offers an enterprise care-at-home platform to enable healthcare organizations to deliver high-quality, patient-centric care at a lower cost. Our platform brings together remote patient monitoring, telehealth capabilities, and patient engagement tools into a single solution that can support patients across the care continuum from chronic disease management to Hospital at Home. Powered by Best Buy, we can provide end-to-end services to support programs as you scale including in-home support, logistics, and a 24/7 Clinical Command Center.",Hospitals and Health Care
Emory Healthcare,"Emory Healthcare is the most comprehensive health care system in Georgia. We offer 11 hospitals, the Emory Clinic, more than 250 provider locations, and more than 2,800 physicians specializing in 70 different medical subspecialties. Meaning we can provide treatments and services that may not be available at local community hospitals. That's the Emory Difference.",Hospitals and Health Care
Envision Physician Services,"Envision Physician Services is a multispecialty provider group and healthcare management team providing anesthesia, emergency medicine, hospital medicine, radiology, surgical services, and womenâ€™s and childrenâ€™s health services. Our collective experience enables us to better solve complex problems and consistently give healthcare organizations confidence in our execution. Envision Physician Services serves more than 900 healthcare facilities in 48 states and employs or contracts with more than 25,200 physicians and other healthcare professionals.

Community guidelines: http://bit.ly/2TUoNK3",Hospitals and Health Care
Evolent Health,"Evolent Health delivers proven clinical and administrative solutions that improve whole person health while making health care simpler and more affordable. Our three solutionsâ€”Evolent Care Partners, New Century Health and Evolent Health Servicesâ€”encompass total cost of care management, specialty care management and administrative simplification. Evolent serves a national base of leading payers and providers, is the first company to receive the National Committee for Quality Assurance's Population Health Program Accreditation, and is consistently recognized as a top place to work in health care nationally.

OUR PEOPLE
We were named one of â€œBeckerâ€™s 150 Great Places to Work in Healthcareâ€ in 2016, 2017, 2018 and 2019 and are proud to be recognized as a leader in driving diversity, equity, and inclusion (DE&I) efforts. Evolent achieved a 100% score on the 2020 Human Rights Campaign's Corporate Equality Index, making us one of the best places to work for LGBTQ+ employees. We were also named on the Best Companies for Women to Advance List 2020 and 2021 by Parity.org.

OUR CULTURE
Our accessible leadership team cultivates an open-door environment. We donâ€™t like approval chains; we love ideas and people with the courage and conviction to bring novel solutions forward. We win as a team and always ask how we can do better. We respect and encourage commitments outside of work.

OUR COMPENSATION & BENEFITS
We recognize and reward our most valuable assetâ€”our teamâ€”with competitive pay and annual performance-based bonuses. Evolent also offers comprehensive health benefits, a company-matched 401(k) and flexible spending accounts. Every salaried Evolent employee receives unlimited Personal Time Off and is eligible for a month-long sabbatical after working five years with Evolent. 

This account is monitored closely by our company. Please message us at EvolentFeedback@evolenthealth.com with any questions or concerns.",Hospitals and Health Care
Grady Health System,"Everyone at Grady Health System is part of something bigger: a legacy of service and a calling to improve lives by changing the way healthcare is delivered. Our commitment is to serve the community with expertise, passion, innovation, and arms open wide. 

Grady is: 
- Atlantaâ€™s only nationally verified Level 1 trauma center 
- Georgiaâ€™s only verified Burn Center for adult and pediatric patients 
- Advanced Comprehensive Marcus Stroke and Neuroscience Center 
- State-of-the-art Cardiac Center with award-winning heart failure program 
- Worldâ€™s first 24/7 sickle cell center 
- One of the nationâ€™s top HIV/AIDS centers 
- Georgiaâ€™s first cancer center for excellence 
- Home to more than 60 specialty care clinics 
- Six neighborhood-based health centers around Atlanta",Hospitals and Health Care
Harris Health System,"At Harris Health System, we champion better health for our patients, their families and our community, by connecting all to an integrated healthcare system that provides high-quality healthcare.

Harris Health System focuses on the delivery of primary care, wellness and prevention services to the residents of Harris County, Texas, through its extensive network of 48 inpatient and outpatient facilities.

Harris Health is staffed by physician faculty and residents from nationally ranked medical schools, Baylor College of Medicine, McGovern Medical School at The University of Texas Health Science Center at Houston (UTHealth) and M.D. Anderson Cancer Center. 

Mission
Harris Health is a community-focused academic healthcare system dedicated to improving the health of those most in need in Harris County through quality care delivery, coordination of care, and education.

Vision
Harris Health will become the premier public academic healthcare system in the nation.

We Value
Quality and Patient Safety
United as One
Accountable and Just Culture
Leadership and Integrity
Innovation, Education, Research
Trust, Recognition, Respect
You: Patients, Employees, Medical Staff




VOLUME STATISTICS - FY 2021
Cases occupying beds â€“ 36,481
Births â€“ 4,217
Emergency visits â€“ 132,514
Outpatient clinic visits â€“ 1,403,263


For more information on Harris Health System, visit harrishealth.org",Hospitals and Health Care
Healthgrades,"Healthgrades is dedicated to empowering stronger and more meaningful connections between patients and healthcare professionals. As the #1 platform for finding a doctor and a leader in healthcare transparency, we help millions of consumers each month find and schedule appointments with their provider of choice and prepare for their appointments with best-in-class, treatment-focused content.

Our health system, provider, and life sciences marketing solutions have been helping our partners reach and engage consumers who are on their way to the doctor for over 20 years.

Healthgrades is part of RV Health, a Red Ventures business, which has the largest consumer health and wellness audience online across its brand portfolio including Healthline, Healthgrades, Medical News Today, Greatist, Psych Central, Bezzy and Platejoy. Each month, RV Health helps more than 100 million unique visitors live their strongest and healthiest lives.

Interested in joining our team? Check out our open positions here: https://careers.redventures.com/healthgrades",Hospitals and Health Care
Heartland Dental,"As a leading DSO, Heartland Dental provides supported dentists, hygienists, and non-clinical team members with world-class non-clinical administrative support to help them achieve sustainable professional and personal growth. What started from the entrepreneurial spirit of Rick Workman, DMD, with a single dental practice, has evolved into supporting over 2,400 dentists in over 1,650 dental offices across 38 states. 

Heartland Dental is not your typical Dental Support Organization. Its legacy of being built by a dentist, for dentists along with its doctor-led culture and business model enables supported doctors to be the leaders of their practice, working with their teams to focus on providing great dentistry while Heartland Dental focuses on providing support for the day-to-day non-clinical administrative workflow. 

You can discover more about Heartland Dentalâ€™s Doctor Difference by visiting www.heartland.com. 

Mission: We help doctors and their teams deliver the highest quality dental care and experiences to the communities they serve. We do this while providing exceptional careers and creating value for our stakeholders.",Hospitals and Health Care
HonorHealth,"Our team members and physicians are focused on doing whatâ€™s right for our community. That is why we look more closely, go beyond the surface and see every dimension in everything we do, providing a level of care that defies the expected.

Without our people, we wouldnâ€™t be recognized for who we are today. It all comes down to our team members, connected and supporting each other. Working together like a family, with the understanding of what weâ€™re all working towards. Every day they go beyond, when others call it quits, and maintain high standards to honor our community. This is what it means to work at HonorHealth.

With more than 3,000 expert physicians, 12,000 dedicated employees, and 3,000 caring volunteers, HonorHealth continues to strengthen our communities, making sure that everyone has access to quality healthcare.",Hospitals and Health Care
Houston Methodist,"At Houston Methodist, leading medicine is more than a description of what we do; itâ€™s who we are. Demonstrating an enduring history of health care innovation, Houston Methodist is comprised of a nationally recognized academic medical center, six community hospitals, a long-term acute care hospital, physician organization, research institute and a global health care organization. With over 2,264 operating beds and more than 22,000 employees, we take our responsibility as Houstonâ€™s premier health care system seriously. And, with a national reputation for excellence in patient care, innovation and research, we hold ourselves and the careers we build to a higher standard. As a diverse, inclusive and growing health care system, we offer a lifetime of meaningful careers within our many facilities.

- MagnetÂ® status achieved by four Houston Methodist hospitals.
- Flagship hospital ranked the No. 1 hospital in Texas and nationally ranked in 8 adult specialties by U.S. News & World Report (2018-19).
- Houston Methodist hospitals have received numerous designations, including Pathway to Excellenceâ„¢, HealthGradesÂ®, AACN Silver-Level Beacon Award for Excellence, Guardian of Excellence AwardÂ® and the state of Texas Exemplary Five Star award.",Hospitals and Health Care
Inova Health System,"Inova is Northern Virginiaâ€™s leading nonprofit healthcare provider, employing more than 18,000 team members and serving more than 2 million individuals annually through an integrated network of hospitals, primary and specialty care practices, emergency and urgent care centers, outpatient services and destination institutes such as the Inova Heart and Vascular Institute, Inova Schar Cancer Institute and Inova Neuroscience and Spine Institute. Our full spectrum of health services includes Northern Virginiaâ€™s only Level 1 Trauma Center and Level 4 Neonatal Intensive Care Unit, and our hospitals have a total of 1,800 licensed beds. Our mission is to provide world-class healthcare â€“ every time, every touch â€“ to each person in every community we have the privilege to serve.",Hospitals and Health Care
Johns Hopkins Hospital,"The mission of Johns Hopkins Medicine is to improve the health of the community and the world by setting the standard of excellence in medical education, research and clinical care. Diverse and inclusive, Johns Hopkins Medicine educates medical students, scientists, health care professionals and the public; conducts biomedical research; and provides patient-centered medicine to prevent, diagnose and treat human illness.",Hospitals and Health Care
Johnson & Johnson MedTech,"At Johnson & Johnson MedTech, we unleash diverse healthcare expertise, purposeful technology, and a passion for people to transform the future of medical intervention and empower everyone to live their best life possible.

For more than a century, we have driven breakthrough scientific innovation to address unmet needs and reimagine health. In surgery, orthopaedics, vision, and interventional solutions, we continue to help save lives and create a future where healthcare solutions are smarter, less invasive, and more personalized.",Hospitals and Health Care
Joint Commission Resources,"Joint Commission Resources (JCR) is a global, knowledge-based organization providing innovative solutions to help health care organizations across all settings improve patient safety and quality.



From accreditation related resources and Medicare survey support and response, to advocating medication safety processes and infection prevention strategies to redesigning your physical facilities for optimal safety, JCR is there with practical, effective solutions.",Hospitals and Health Care
JSI,"The nonprofit JSI Research & Training Institute, Inc., and forprofit JSI are global public health consulting organization dedicated to greater health equity and improving the health of individuals and communities, and to providing an environment where people of passion can pursue this cause.
We bring people together to identify public health problems, find and implement equitable solutions, and measure their effectiveness.
How we work is as important as what we do. Clients trust us to collaboratively develop flexible, innovative, solutions that increase equity while addressing complex public health problems.
Our staff are recognized for their expertise, dedication to social justice, approach to partnership, and thought leadership.",Hospitals and Health Care
LifeBridge Health,"LifeBridge Health is a regional health care organization based in northwest Baltimore and its surrounding counties. LifeBridge Health consists of Sinai Hospital of Baltimore, Northwest Hospital, Carroll Hospital, Grace Medical Center, Levindale Hebrew Geriatric Center and Hospital, LifeBridge Health & Fitness, hundreds of primary care and specialty physicians throughout the region, and many affiliated health-related partners.

As one of the largest, most comprehensive and most highly respected providers of health-related services to the people of the northwest Baltimore region, LifeBridge Health advocates preventive services, wellness and fitness services, and programs to educate and support the communities it serves.

To learn about employment opportunities at LifeBridge Health, please visit www.lifejobs.org.",Hospitals and Health Care
Lifespan,"Lifespan, Rhode Island's first health system, was founded in 1994 by Rhode Island Hospital and The Miriam Hospital. A comprehensive, integrated, academic health system, Lifespanâ€™s present partners also include RI Hospitalâ€™s Hasbro Children's Hospital , Bradley Hospital, and Newport Hospital. 

A not-for-profit organization, Lifespan is overseen by a board of volunteer community leaders who are guided by its mission to improve the health status of the people it serves in Rhode Island and New England through the provision of customer friendly, geographically accessible and high value services. 

At Lifespan, Rhode Islandâ€™s largest health system and private employer, our employees represent a broad spectrum of experience, occupations and cultural backgrounds. Throughout Lifespanâ€™s network of nationally recognized hospitals, youâ€™ll find a commitment to community wellbeing and world-class nursing and health care opportunities. If you share our commitment to community caring, we invite you to choose the hospital and the area that suits you best, whether itâ€™s Providence, named one of the best places to live in the U.S., or beautiful Newport, the â€œcity by the sea.â€ 

The American Heart Association has certified the Lifespan health system as a Gold Level Start! Fit-Friendly Company, an award that recognizes employers that go â€œabove and beyondâ€ in promoting their employeesâ€™ health. Lifespan is the only Rhode Island company with this certification.",Hospitals and Health Care
Main Line Health,"Main Line Health (MLH) is a not-for-profit health system serving portions of Philadelphia and its western suburbs. At its core are four of the regionâ€™s respected acute care hospitalsâ€”Lankenau Medical Center, Bryn Mawr Hospital, Paoli Hospital and Riddle Hospitalâ€”as well as one of the nationâ€™s premier facilities for rehabilitative medicine, Bryn Mawr Rehabilitation Hospital; Mirmont Treatment Center and Main Line Health HomeCare & Hospice. MLH also consists of multi-specialty physician networks, Lankenau Institute for Medical Research- non-profit biomedical research organization. It also comprises six outpatient health centers located in Broomall, Collegeville, Concordville, Exton, Newtown Square and King of Prussia.

Our employees speak highly of the work environment at Main Line Health. We offer great opportunities for advancement as well as flexible schedules that allow you to balance your personal and professional life. 

It is the policy of Main Line Health: to provide Equal Employment Opportunity to all people in all aspects of employer/employee relations without discrimination because of race, religion, color, sex (including pregnancy, gender identity, gender expression, and sexual orientation), parental status, national origin, ancestry, age, disability, political affiliation, military service, relationship status, or other non-merit based factors; to select, develop and promote employees based on the individualâ€™s, qualifications, experience, and job performance; to maintain a working environment free of all forms of discrimination, harassment, and intimidation.",Hospitals and Health Care
MD Anderson Cancer Center,"The University of Texas MD Anderson Cancer Center is one of the world's most respected centers devoted exclusively to cancer patient care, research, education and prevention. MD Anderson provides cancer care at several convenient locations throughout the Greater Houston Area and collaborates with community hospitals and health systems nationwide through MD Anderson Cancer NetworkÂ®.

U.S. News & World Report's ""Best Hospitals""â€‹ survey has ranked MD Anderson the nation's top hospital for cancer care. Every year since the survey began in 1990, MD Anderson has been named one of the top two cancer hospitals. The recognition reflects the passion of our 21,000 extraordinary employees and 1,000 volunteers for providing exceptional care to our patients and their families, and for realizing our mission to #EndCancer. 

You can view all of our career opportunities at careers.mdanderson.org.",Hospitals and Health Care
Ministry of Health and Prevention - UAE,"Vision:_
_An effective and sustainable Healthcare System for a happy society._

Mission:
Enhance community health by providing comprehensive, innovative and fair healthcare services as per international standards as well as perform its role as a regulator and a supervisor of the healthcare sector through a modern and integrated health legislative system..

Values:
- Professionalism: Our healthcare services are provided efficiently and effectively.â€‹

- Customer Priority: Our customer is the core element of our attention and care.

- Sustainability: Achieve sustainability in all our practices to support the health of individuals in the present and future time.

- Teamwork: Work with partners, employees and customers with a one team .

- Integration: Provide comprehensive and credible services for all .

- Creativity: Encourage creativity and excellence in all our practices.â€‹

Strategic Objectives:
- To provide excellent health services to UAE society according to the international standards â€‹

- To Improve the quality of existing systems & develop healthcare facilities & ensure accessibility in accordance to international standards Healthy Societyâ€‹

- To promote a healthy lifestyles in UAE Society to prevent it from associated diseases. NCD'S Development of the health care system to protect & control the community from communicable diseases CD'S Governance:

- To develop healthcare system that protect UAE citizen from communicable diseases & control its spread

- To enhance the healthcare legislations and policies in UAE and to enforce its implementation in collaboration with the public and private sectors

- To ensure and guarantee the provision of all administrative services according to the standards of quality, efficiency and transparency.

- To build innovation culture in the working environmentâ€‹",Hospitals and Health Care
Moffitt Cancer Center,"At Moffitt Cancer Center, we come face-to-face with cancer every day, but we also see courage. And it inspires us to be the safest and best place for cancer care â€“ to bring greater hope to every patient we serve. Itâ€™s why weâ€™ve been continually named One of the Top Places to Work in the Tampa Bay Area. As the only National Cancer Institute-designated Comprehensive Cancer Center based in Florida, Moffitt employs some of the best and brightest minds from around the world. Moffitt is the top cancer hospital in Florida according to U.S. News & World Report and has been nationally ranked since 1999. Because working at Moffitt is both a career and a mission: to contribute to the prevention and cure of cancer. Join a dedicated, diverse and inclusive team of over 7,000 to be a part of the Courageous future we envision.",Hospitals and Health Care
Mount Carmel Health System,"At Mount Carmel, weâ€™re dedicated to providing the best in people-centered care. Itâ€™s a commitment weâ€™ve made to our patients and communities we serve at our four central Ohio hospitals â€” Mount Carmel East, Mount Carmel Grove City, Mount Carmel St. Annâ€™s and Mount Carmel New Albany. An integrated health system, Mount Carmel also offers a free-standing emergency care centers, surgery centers, outpatient facilities, physician offices and community outreach services. Everything we do is centered on delivering the care thatâ€™s best for each patientâ€™s unique situation and personal needs.",Hospitals and Health Care
MultiCare Health System,"MultiCare is a not-for-profit healthcare system with roots that go back well over 100 years since the founding of Tacomaâ€™s first hospital. Today, we are the largest community-based, locally governed health system in the state of Washington with more than 20,000 employees including employees, providers, and volunteers.

We are a very different organization than we were just a few years ago â€” larger, more diverse, embracing the changes that come our way as health care continues to evolve. But our commitment to our mission â€” partnering for healing and a healthy future â€” and our dedication to the health of the many communities we serve remains constant and unwavering.

Our core values of Respect, Integrity, Stewardship, Excellence, Collaboration and Kindness, serve as our guiding principles and impact every aspect of our organization, including how we provide patient care and what we expect from each other.

MultiCare is also proud of our commitment to workforce diversity and culturally competent care. This commitment is led by our CEO and supported through employee education and community outreach.",Hospitals and Health Care
Narayana Health,"Narayana Health Group is Indiaâ€™s leading healthcare provider and one of the largest hospital groups in the country with a network of 21 hospitals, 5 heart centers, and 19 primary care facilities. The NH group treats over 2.6 Million patients every year from over 78 countries covering 30+ medical specialities.

Our Centers of Excellence help in treating Adult & Pediatric patients and we have one of the largest transplant centers in India. We have a strong presence across 17 locations in India, and an overseas hospital in the Cayman Islands, USA.

Two of our hospitals have international accreditation from the Joint Commission International (JCI) and 19 hospitals have domestic accreditation from National Accreditation Board for Hospitals (NABH).",Hospitals and Health Care
NHS England,"We work with NHS Improvement to act as a single organisation to better support the NHS to deliver improved care for patients: https://www.england.nhs.uk/comment-policy 

NHS England is increasing transparency in the NHS and improving services for patients.

We work with NHS staff, patients, stakeholders and the public to improve the health outcomes for people in England.

We are responsible for the stewardship of Â£99 billion of public funds to provide comprehensive health and care services available to all, where there is clinical need and regardless of an individualâ€™s ability to pay. 

We are custodians of the values of the NHS Constitution, committed to putting patients at the heart of everything we do, promoting transparency and accountability of our work to citizens, and ensuring the most efficient, fair and inclusive use of finite taxpayer resources.

High quality care for all, now and for future generations.",Hospitals and Health Care
Northside Hospital,"The Northside Hospital health care system is one of Georgiaâ€™s leading health care providers with five acute-care hospitals in Atlanta, Canton, Cumming, Duluth and Lawrenceville and more than 250 outpatient locations across the state. Northside Hospital leads the U.S. in newborn deliveries and is among the stateâ€™s top providers of cancer care, sports medicine, cardiovascular and surgical services.",Hospitals and Health Care
Northwestern Medicine,"Northwestern Medicine is the collaboration between Northwestern Memorial HealthCare and Northwestern University Feinberg School of Medicine around a strategic vision to transform the future of healthcare. It encompasses the research, teaching, and patient care activities of the academic medical center. Sharing a commitment to superior quality, academic excellence and patient safety, the organizations within Northwestern Medicine comprise a combined workforce of more than 30,000 among clinical and administrative staff, medical and science faculty and medical students. Northwestern Medicine is comprised of more than 100 locations throughout the region, anchored by the #1 hospital in Illinois as ranked by U.S. News & World Report. What makes us better, makes you better.",Hospitals and Health Care
